#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Legendary
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,53,1,0
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,1,0
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,87.5,1,0
3,Venusaur (Mega Venusaur),Grass,Poison,80,100,123,122,120,80,625,104.17,1,0
4,Charmander,Fire,nan,39,52,43,60,50,65,309,51.5,1,0
5,Charmeleon,Fire,nan,58,64,58,80,65,80,405,67.5,1,0
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,89,1,0
6,Charizard (Mega Charizard X),Fire,Dragon,78,130,111,130,85,100,634,105.67,1,0
6,Charizard (Mega Charizard Y),Fire,Flying,78,104,78,159,115,100,634,105.67,1,0
7,Squirtle,Water,nan,44,48,65,50,64,43,314,52.33,1,0
8,Wartortle,Water,nan,59,63,80,65,80,58,405,67.5,1,0
9,Blastoise,Water,nan,79,83,100,85,105,78,530,88.33,1,0
9,Blastoise (Mega Blastoise),Water,nan,79,103,120,135,115,78,630,105,1,0
10,Caterpie,Bug,nan,45,30,35,20,20,45,195,32.5,1,0
11,Metapod,Bug,nan,50,20,55,25,25,30,205,34.17,1,0
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,65.83,1,0
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,32.5,1,0
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,34.17,1,0
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,65.83,1,0
15,Beedrill (Mega Beedrill),Bug,Poison,65,150,40,15,80,145,495,82.5,1,0
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,41.83,1,0
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,58.17,1,0
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,79.83,1,0
18,Pidgeot (Mega Pidgeot),Normal,Flying,83,80,80,135,80,121,579,96.5,1,0
19,Rattata,Normal,nan,30,56,35,25,35,72,253,42.17,1,0
19,Rattata (Alolan Rattata),Dark,Normal,30,56,35,25,35,72,253,42.17,1,0
20,Raticate,Normal,nan,55,81,60,50,70,97,413,68.83,1,0
20,Raticate (Alolan Raticate),Dark,Normal,75,71,70,40,80,77,413,68.83,1,0
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,43.67,1,0
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,73.67,1,0
23,Ekans,Poison,nan,35,60,44,40,54,55,288,48,1,0
24,Arbok,Poison,nan,60,95,69,65,79,80,448,74.67,1,0
25,Pikachu,Electric,nan,35,55,40,50,50,90,320,53.33,1,0
25,Pikachu (Partner Pikachu),Ground,nan,45,80,50,75,60,120,430,71.67,1,0
26,Raichu,Electric,nan,60,90,55,90,80,110,485,80.83,1,0
26,Raichu (Alolan Raichu),Electric,Psychic,60,85,50,95,85,110,485,80.83,1,0
27,Sandshrew,Ground,nan,50,75,85,20,30,40,300,50,1,0
27,Sandshrew (Alolan Sandshrew),Ice,Steel,50,75,90,10,35,40,300,50,1,0
28,Sandslash,Ground,nan,75,100,110,45,55,65,450,75,1,0
28,Sandslash (Alolan Sandslash),Ice,Steel,75,100,120,25,65,65,450,75,1,0
29,Nidoran?€,Poison,nan,55,47,52,40,40,41,275,45.83,1,0
30,Nidorina,Poison,nan,70,62,67,55,55,56,365,60.83,1,0
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,84.17,1,0
32,Nidoran??Fire,Poison,nan,46,57,40,40,40,50,273,45.5,1,0
33,Nidorino,Poison,nan,61,72,57,55,55,65,365,60.83,1,0
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,84.17,1,0
35,Clefairy,Fairy,nan,70,45,48,60,65,35,323,53.83,1,0
36,Clefable,Fairy,nan,95,70,73,95,90,60,483,80.5,1,0
37,Vulpix,Fire,nan,38,41,40,50,65,65,299,49.83,1,0
37,Vulpix (Alolan Vulpix),Ice,nan,38,41,40,50,65,65,299,49.83,1,0
38,Ninetales,Fire,nan,73,76,75,81,100,100,505,84.17,1,0
38,Ninetales (Alolan Ninetales),Ice,Fairy,73,67,75,81,100,109,505,84.17,1,0
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,45,1,0
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,72.5,1,0
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,40.83,1,0
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,75.83,1,0
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,53.33,1,0
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,65.83,1,0
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,81.67,1,0
46,Paras,Bug,Grass,35,70,55,45,55,25,285,47.5,1,0
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,67.5,1,0
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,50.83,1,0
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,75,1,0
50,Diglett,Ground,nan,10,55,25,35,45,95,265,44.17,1,0
50,Diglett (Alolan Diglett),Ground,Steel,10,55,30,35,45,90,265,44.17,1,0
51,Dugtrio,Ground,nan,35,100,50,50,70,120,425,70.83,1,0
51,Dugtrio (Alolan Dugtrio),Ground,Steel,35,100,60,50,70,110,425,70.83,1,0
52,Meowth,Normal,nan,40,45,35,40,40,90,290,48.33,1,0
52,Meowth (Alolan Meowth),Dark,nan,40,35,35,50,40,90,290,48.33,1,0
52,Meowth (Galarian form),Steel,nan,50,65,55,40,40,40,290,48.33,1,0
53,Persian,Normal,nan,65,70,60,65,65,115,440,73.33,1,0
53,Persian (Alolan Persian),Dark,nan,65,60,60,75,65,115,440,73.33,1,0
54,Psyduck,Water,nan,50,52,48,65,50,55,320,53.33,1,0
55,Golduck,Water,nan,80,82,78,95,80,85,500,83.33,1,0
56,Mankey,Fighting,nan,40,80,35,35,45,70,305,50.83,1,0
57,Primeape,Fighting,nan,65,105,60,60,70,95,455,75.83,1,0
58,Growlithe,Fire,nan,55,70,45,70,50,60,350,58.33,1,0
59,Arcanine,Fire,nan,90,110,80,100,80,95,555,92.5,1,0
60,Poliwag,Water,nan,40,50,40,40,40,90,300,50,1,0
61,Poliwhirl,Water,nan,65,65,65,50,50,90,385,64.17,1,0
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,85,1,0
63,Abra,Psychic,nan,25,20,15,105,55,90,310,51.67,1,0
64,Kadabra,Psychic,nan,40,35,30,120,70,105,400,66.67,1,0
65,Alakazam,Psychic,nan,55,50,45,135,95,120,500,83.33,1,0
65,Alakazam (Mega Alakazam),Psychic,nan,55,50,65,175,105,150,600,100,1,0
66,Machop,Fighting,nan,70,80,50,35,35,35,305,50.83,1,0
67,Machoke,Fighting,nan,80,100,70,50,60,45,405,67.5,1,0
68,Machamp,Fighting,nan,90,130,80,65,85,55,505,84.17,1,0
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,50,1,0
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,65,1,0
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,81.67,1,0
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,55.83,1,0
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,85.83,1,0
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,50,1,0
74,Geodude (Alolan Geodude),Rock,Electric,40,80,100,30,30,20,300,50,1,0
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,65,1,0
75,Graveler (Alolan Graveler),Rock,Electric,55,95,115,45,45,35,390,65,1,0
76,Golem,Rock,Ground,80,120,130,55,65,45,495,82.5,1,0
76,Golem (Alolan Golem),Rock,Electric,80,120,130,55,65,45,495,82.5,1,0
